R                       Z                        T
0.14436181                0.008944724              309.3716732225069
0.14436181                0.009045226              309.3808970584381
0.14436181                0.009145728              309.39024528605023
0.14436181                0.009246231              309.39971800021533
0.14436181                0.009346734              309.40931690868473
0.14436181                0.009447236              309.4190464632258
0.14436181                0.009547738              309.4289015729645
0.14436181                0.00964824               309.4388831529459
0.14436181                0.009748744              309.4489914055798
0.14436181                0.009849246              309.45922592856357
0.14436181                0.009949748              309.4695911986556
0.14436181                0.010050251              309.48009309120675
0.14436181                0.010150754              309.4907274679737
0.14436181                0.010251256              309.50149234101013
0.14436181                0.010351759              309.512389723689
0.14436181                0.010452261              309.5234193991535
0.14436181                0.010552764              309.5345817933378
0.14436181                0.010653267              309.545885047815
0.14436181                0.0107537685             309.5573274328836
0.14436181                0.010854271              309.56890619802897
0.14436181                0.010954773              309.5806211714548
0.14436181                0.011055276              309.59247243992195
0.14436181                0.0111557795             309.60446294765933
0.14436181                0.011256282              309.6165979426024
0.14436181                0.011356784              309.6288774818855
0.14436181                0.011457286              309.64130162552067
0.14436181                0.011557789              309.6538700680145
0.14436181                0.011658291              309.66657866919377
0.14436181                0.011758794              309.67943691072867
0.14436181                0.011859296              309.69244051494843
0.14436181                0.011959798              309.7055921199176
0.14436181                0.012060301              309.7188918587044
0.14436181                0.012160804              309.73233960118586
0.14436181                0.012261307              309.7459356087643
0.14436181                0.012361809              309.7596862859648
0.14436181                0.0124623105             309.77359243462837
0.14436181                0.012562813              309.78765426346683
0.14436181                0.012663316              309.80187170600516
0.14436181                0.01276382               309.8162392503404
0.14436181                0.0128643215             309.8307694636745
0.14436181                0.012964824              309.8454555260191
0.14436181                0.013065326              309.8603009329304
0.14436181                0.013165829              309.87530590716693
0.14436181                0.0132663315             309.8904702259703
0.14436181                0.013366835              309.90579400633663
0.14436181                0.013467337              309.92128416125274
0.14436181                0.013567839              309.9369422571029
0.14436181                0.013668342              309.9527684521925
0.14436181                0.013768844              309.96876243158187
0.14436181                0.013869347              309.9849163427607
0.14436181                0.013969849              310.0012491592839
0.14436181                0.014070351              310.0177479994993
0.14436181                0.014170853              310.0344190659515
0.14436181                0.014271357              310.0512626955372
0.14436181                0.01437186               310.06827838805225
0.14436181                0.014472362              310.0854656135649
0.14436181                0.0145728635             310.10283189612545
0.14436181                0.014673366              310.12037978958784
0.14436181                0.014773869              310.13810921071314
0.14436181                0.014874372              310.1560200726521
0.14436181                0.0149748735             310.17410253926306
0.14436181                0.015075377              310.1923804414471
0.14436181                0.015175879              310.21083609061435
0.14436181                0.015276382              310.22947804396165
0.14436181                0.0153768845             310.2483060246477
0.14436181                0.015477386              310.26731993483685
0.14436181                0.015577889              310.2865195293302
0.14436181                0.01567839               310.3059113957963
0.14436181                0.015778894              310.32549994234137
0.14436181                0.015879396              310.3452841973767
0.14436181                0.0159799                310.36526494831935
0.14436181                0.016080402              310.38543221953796
0.14436181                0.016180903              310.4058080106872
0.14436181                0.016281407              310.42637712666243
0.14436181                0.01638191               310.44714719919057
0.14436181                0.016482413              310.4681184319306
0.14436181                0.016582914              310.4892904015521
0.14436181                0.016683416              310.5106629275836
0.14436181                0.01678392               310.5322428257109
0.14436181                0.016884422              310.5540341393327
0.14436181                0.016984925              310.5760375157615
0.14436181                0.017085427              310.5982525171322
0.14436181                0.01718593               310.6206717945785
0.14436181                0.017286431              310.64331223398665
0.14436181                0.017386934              310.66616231062005
0.14436181                0.017487437              310.68922965169384
0.14436181                0.01758794               310.712514257208
0.14436181                0.017688442              310.73601589223904
0.14436181                0.017788945              310.7597342841129
0.14436181                0.017889448              310.7836745361209
0.14436181                0.01798995               310.80784311991977
0.14436181                0.018090451              310.8322400286863
0.14436181                0.018190954              310.85686599409075
0.14436181                0.018291457              310.881714248036
0.14436181                0.01839196               310.9067968841497
0.14436181                0.018492462              310.9321076873288
0.14436181                0.018592965              310.9576520665081
0.14436181                0.018693468              310.9834307524318
0.14436181                0.01879397               311.00944348510615
0.14436181                0.018894471              311.03568977316144
0.14436181                0.018994974              311.0621738753218
0.14436181                0.019095477              311.0889041092668
0.14436181                0.01919598               311.11588047499686
0.14436181                0.019296482              311.1431027004247
0.14436181                0.019396985              311.17056661634496
0.14436181                0.019497488              311.1982777537786
0.14436181                0.01959799               311.22623834187436
0.14436181                0.019698491              311.25444805720304
0.14436181                0.019798994              311.2829104605651
0.14436181                0.019899497              311.3116249930873
0.14436181                0.02                     311.3405916547699
0.14453518                0                        308.96468550467614
0.14453518                1.0050251E-4             308.9647283037817
0.14453518                2.0100502E-4             308.96486453226794
0.14453518                3.015075E-4              308.9650943386792
0.14453518                4.0201005E-4             308.9654144286644
0.14453518                5.0251256E-4             308.96582478230806
0.14453518                6.03015E-4               308.96632733772094
0.14453518                7.035176E-4              308.96692283177526
0.14453518                8.040201E-4              308.9676088870241
0.14453518                9.045226E-4              308.9683855040145
0.14453518                0.0010050251             308.9692554286686
0.14453518                0.0011055276             308.9702190998445
0.14453518                0.00120603               308.97126964977576
